display_name,room,name,type
Baker Systems,310,lj_be_310,Black & White Laser
Bolz Hall,117,lj_bo_117,Black & White Laser
Caldwell Labs,112,lj_cl_112_a,Black & White Laser
Caldwell Labs,112,lj_cl_112_b,Black & White Laser
Caldwell Labs,112,lj_cl_112_c,Black & White Laser
Caldwell Labs,413,lj_cl_413,Black & White Laser
Dreese Labs,172,lj_dl_172,Black & White Laser
Dreese Labs,272,lj_dl_272,Black & White Laser
Dreese Labs,395Q,lj_dl_395_a,Black & White Laser
Dreese Labs,395Q,ljc_dl_395_color,Color Laser
Dreese Labs,477,lj_dl_477,Black & White Laser
Dreese Labs,577,lj_dl_577,Black & White Laser
Dreese Labs,677,lj_dl_677,Black & White Laser
Dreese Labs,677,ljc_dl_677_color,Color Laser
Dreese Labs,777,lj_dl_777,Black & White Laser
Dreese Labs,895,lj_dl_895,Black & White Laser
Dreese Labs,895,ljc_dl_895_color,Color Laser
